0, Birdman
1, 12 Years a Slave
2, Argo
3, The Artist
4, The King's Speech
5, The Hurt Locker
6, Slumdog Millionaire
7, No Country for Old Men
8, The Departed
9, Crash
10, Million Dollar Baby
11, The Lord of the Rings: The Return of the King
12, Chicago
13, A Beautiful Mind
14, Gladiator
15, American Beauty
16, Shakespeare in Love
17, Titanic
18, The English Patient
19, Braveheart
20, Forrest Gump
21, Schindler's List
22, Unforgiven
23, The Silence of the Lambs
24, Dances with Wolves
25, Driving Miss Daisy
26, Rain Man
27, The Last Emperor
28, Platoon
29, Out of Africa
30, Amadeus
31, Terms of Endearment
32, Gandhi
33, Chariots of Fire
34, Ordinary People
35, Kramer vs. Kramer
36, The Deer Hunter
37, Annie Hall
38, Rocky
39, One Flew Over the Cuckoo's Nest
40, The Godfather: Part II
41, The Sting
42, The Godfather
43, The French Connection
44, Patton
45, Midnight Cowboy
46, Oliver!
47, In the Heat of the Night
48, A Man for All Seasons
49, The Sound of Music
50, My Fair Lady
51, Tom Jones
52, Lawrence of Arabia
53, West Side Story
54, The Apartment
55, Ben-Hur
56, Gigi
57, The Bridge on the River Kwai
58, Around the World in 80 Days
59, Marty
60, On the Waterfront
61, From Here to Eternity
62, The Greatest Show on Earth
63, An American in Paris
64, All About Eve
65, All the King's Men
66, Hamlet
67, Gentleman's Agreement
68, The Best Years of Our Lives
69, The Lost Weekend
70, Going My Way
71, Casablanca
72, Mrs. Miniver
73, How Green Was My Valley
74, Rebecca
75, Gone With the Wind
76, You Can't Take it With You
77, The Life of Emile Zola
78, The Great Ziegfeld
79, Mutiny on the Bounty
80, It Happened One Night
81, Cavalcade
82, Grand Hotel
83, Cimarron
84, All Quiet on the Western Front
85, The Broadway Melody
86, Wings
87,NONE
